reference,screening,extent,Reason,Additional Reason,Additional remarks,Interesting points for review,Inclusion
"Clayton, K., Davis, J., Hinckley, K., & Horiuchi, Y. (2019). Partisan motivated reasoning and misinformation in the media: Is news from ideologically uncongenial sources more suspicious? Japanese Journal of Political Science, 20(3), 129–142. https://doi.org/10.1017/S1468109919000082",full text,fully,criterion_5,,"looked at both fake and true news, but fabricated those; also, their fake news have been shown in combination with credible sources (CNN, or fake news); no descriptive stats",,Scopus
"Morris, D. S., Morris, J. S., & Francia, P. L. (2020). A fake news inoculation? Fact checkers, partisan identification, and the power of misinformation. Politics, Groups, and Identities, 8(5), 986–1005. https://doi.org/10.1080/21565503.2020.1803935",full text,fully,criterion_2,,looked only at fake news; also don't provide descriptive stats,,Manual
"Garrett, R. K., & Poulsen, S. (2019). Flagging Facebook Falsehoods: Self-Identified Humor Warnings Outperform Fact Checker and Peer Warnings. Journal of Computer-Mediated Communication, 24(5), 240–258. https://doi.org/10.1093/jcmc/zmz012",full text,fully,criterion_2,criterion_5,looked only at fake news and fabricated those,,Manual
"Tsang, S. J. (2021). Motivated Fake News Perception: The Impact of News Sources and Policy Support on Audiences’ Assessment of News Fakeness. Journalism & Mass Communication Quarterly, 98(4), 1059–1077. https://doi.org/10.1177/1077699020952129",full text,fully,criterion_2,criterion_5,looked only at fake news and fabricated those,,Scopus
"Roozenbeek, J., & van der Linden, S. (2019). Fake news game confers psychological resistance against online misinformation. Palgrave Communications, 5(1), 1–10. https://doi.org/10.1057/s41599-019-0279-9",full text,fully,criterion_5,,fabricated fake news,,Scholar
"Amazeen, M. A., & Bucy, E. P. (2019). Conferring Resistance to Digital Disinformation: The Inoculating Influence of Procedural News Knowledge. Journal of Broadcasting & Electronic Media, 63(3), 415–432. https://doi.org/10.1080/08838151.2019.1653101",full text,fully,criterion_5,,fabricated fake news; do not provide relevant descriptive stats,,Manual
"Moravec, P., Minas, R., & Dennis, A. R. (2018). Fake News on Social Media: People Believe What They Want to Believe When it Makes No Sense at All. SSRN Electronic Journal. https://doi.org/10.2139/ssrn.3269541",full text,fully,criterion_4.1,,do not provide relevant descriptive stats,identifiy a deception bias; they also find people judge true news as more false than true news,Scholar
"Scaling up fact-checking using the wisdom of crowds. (2021). SCIENCE ADVANCES, 11.",full text,fully,criterion_2,criterion_4.1,does not provide relevant descriptive stats,,Scopus
"Shahid, F., Mare, S., & Vashistha, A. (2022). Examining Source Effects on Perceptions of Fake News in Rural India. Proceedings of the ACM on Human-Computer Interaction, 6(CSCW1), 1–29. https://doi.org/10.1145/3512936",full text,fully,criterion_4.1,,do not provide relevant descriptive stats,"rural habitants in India cannot distinguish between true and fake, while in cities they can",Manual
"Sirlin, N., Epstein, Z., Arechar, A. A., & Rand, D. G. (2021). Digital literacy is associated with more discerning accuracy judgments but not sharing intentions. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-83",full text,fully,criterion_4.1,,"only provide discernment scores, even in their datasets",,Scopus
"Panizza, F., Ronzani, P., Martini, C., Mattavelli, S., Morisseau, T., & Motterlini, M. (2022). Lateral reading and monetary incentives to spot disinformation about science. Scientific Reports, 12(1), 5678. https://doi.org/10.1038/s41598-022-09168-y",full text,fully,criterion_5,criterion_4.1,"unclear if they use real-world news, and they seem to pair misinfo with trustworthy sources for experimental manipulation; don't provide relevant descriptive stats",,Scopus
"Moore, R. C., & Hancock, J. T. (2022). A digital media literacy intervention for older adults improves resilience to fake news. Scientific Reports, 12(1), 6008. https://doi.org/10.1038/s41598-022-08437-0",full text,fully,criterion_4.1,,do not provide relevant descriptive stats,find deception bias,Scopus
"Pennycook, G., McPhetres, J., Bago, B., & Rand, D. G. (2020). Predictors of attitudes and misperceptions about COVID-19 in Canada, the U.K., and the U.S.A. 33.",full text,fully,criterion_2,,looked only at fake news,,Manual
"Osmundsen, M., Petersen, M. B., Mazepus, H., Toshkov, D., & Dimitrova, A. (2022). Information battleground: Conflict perceptions motivate the belief in and sharing of fake news about the adversary [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/s2atu",full text,fully,criterion_2,criterion_5,only looked at fake news and fabricated those,,Scopus
"Goldstein, J. A., Grossman, S., & Startz, M. (n.d.). Belief in COVID-19 Misinformation in Nigeria. 34.",full text,fully,criterion_2,,only looked at fake news ,,Manual
"Epstein, Z., Sirlin, N., Arechar, A. A., Pennycook, G., & Rand, D. G. (2021). The Social Media Context Interferes with Truth Discernment [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/q4bd2",full text,fully,criterion_4.1,,don't provide descriptive stats except for in small figures and open access data is a bloody mess,,Manual
"Marie, A., & Petersen, M. B. (2022). Moralization of rationality can stimulate, but intellectual humility inhibits, sharing of hostile conspiratorial rumors [Preprint]. Open Science Framework. https://doi.org/10.31219/osf.io/k7u68",full text,fully,criterion_5,,"fabricated fake news, also only presented participants with 'hostile' news",,Manual
"Perault, C. (n.d.). Adolescents’ sharing of fake news on social media. An exploratory study. 62.",full text,fully,criterion_4.1,,"no relevant descriptive stats, only discernment measures",,Manual
"Badrinathan, S., & Chauchard, S. (n.d.). Religious Messaging Against Covid-19 Misinformation: Experimental Evidence from India. 70.",full text,fully,criterion_5,,unclear whether they used real world news or made them up,,Manual
"Roozenbeek, J., Freeman, A. L. J., & van der Linden, S. (2021). How Accurate Are Accuracy-Nudge Interventions? A Preregistered Direct Replication of Pennycook et al. (2020). Psychological Science, 095679762110245. https://doi.org/10.1177/09567976211024535",full text,fully,criterion_4.1,,do not provide relevant descriptive stats,,Scopus
"Modirrousta-Galian, A., & Higham, P. A. (2022). How Effective are Gamified Fake News Interventions? Reanalyzing Existing Research with Signal Detection Theory [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/4bgkd",full text,fully,criterion_1,,a re-analysis of gamified fake news interventions,,Scholar
"Godel, W., Sanderson, Z., Aslett, K., Nagler, J., Bonneau, R., Persily, N., & Tucker, J. A. (n.d.). Moderating with the Mob: Evaluating the Efficacy of Real-Time Crowdsourced Fact-Checking. 36.",full text,fully,criterion_4.1,,"does not provide plain accuracy measures for true and fake news;
rather, it provides True Positive (TP), False Negative (FN), False Positive (FP) and True Negative (TN);
the problem is: none of these correspond to average accuracy ratings of only true news (TP vs. FN) or only fake news (TN vs. FP);
Relevant results in Table 1 are calculated as follows:
""the True Positive Rate is defined as TP/(TP + FP) and the False Positive Rate is FP/(TP + FP). The corresponding Negative Rates are defined as the same, but using negatives rather than positives.""; carfeful: they chose 'mode' as relevant summary statistics ",they let news be selected by an algorythm but they only select news from untrusworthy news outlets,Manual
"Epstein, Z., Berinsky, A. J., Cole, R., Gully, A., Pennycook, G., & Rand, D. G. (2021). Developing an accuracy-prompt toolkit to reduce COVID-19 misinformation online. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-71",full text,fully,criterion_4.1,criterion_4,"study focuses on sharing, not accuracy; nevertheless, one condition measures accuracy - however, no descriptive data availabe for this condition (only graphic from table 1, hence not included)",,Scholar
"Erlich, A., Garner, C., Pennycook, G., & Rand, D. G. (n.d.). Does Analytic Thinking Insulate Against Pro-Kremlin Disinformation? Evidence from Ukraine. 51.",full text,fully,criterion_4.1,,"don't provide relevant descriptive stats in paper, also not in supplementary material",,Scopus
"Dias, N., Pennycook, G., & Rand, D. G. (2020). Emphasizing publishers does not effectively reduce susceptibility to misinformation on social media. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-001",full text,partly,criterion_4.1,SPECIAL CASE,"study 1 and 2 were entered; study 3 was irrelevant (no news items were tested, only sources); already study 4 and 5 don't fit our criteria, because quite a few fake news turned out to be true - they selected them based on news outlet trustworthiness (c.f. comment section in the data sheet); study 6 reports measures only for fake&hyperpartisan news together -  this study is thus excluded",,Manual
"Sadeghiyeh, H., Ahmadi, I. K., Farhadbeigi, P., & Karimi, N. (2020). Cognitive reflection and the coronavirus conspiracy beliefs [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/p9wxj",full text,fully,criterion_4.1,criterion_5,"do not use news headlines but mere 'beliefs', only one roughly-true item, no real-world news",,Manual
"Bago, B., Rand, D. G., & Pennycook, G. (2022). Does deliberation decrease belief in conspiracies? Journal of Experimental Social Psychology, 103, 104395. https://doi.org/10.1016/j.jesp.2022.104395",full text,fully,criterion_5,,"study focused on conspiracy theories, and their stimuli were not news, but researcher-written vignettes",,Scopus
"McPhetres, J., Rand, D. G., & Pennycook, G. (n.d.). Character Deprecation in Fake News: Is it in Supply or Demand? 24.",full text,fully,criterion_4.1,criterion_5,"looked only at fake news; in their second study, they did not use real-world fake news only",,Manual
"Bor, A., Osmundsen, M., Rasmussen, S. H. R., Bechmann, A., & Petersen, M. B. (2020). “Fact-checking” videos reduce belief in but not the sharing of “fake news” on Twitter [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/a7huq",full text,fully,criterion_4.1,,"do not provide relevant descriptive stats, and data is not available on the osf repository https://osf.io/r5zjv/",,Scopus
"Lin, H., Pennycook, G., & Rand, D. G. (2022). Thinking more or thinking differently? Using drift-diffusion modeling to illuminate why accuracy prompts decrease misinformation sharing [Preprint]. PsyArXiv. https://doi.org/10.31234/osf.io/kf8md",full text,fully,criterion_4,,"only looks at sharing intentions, not accuracy ratings",,Scopus
"Theocharis, Y., Cardenal, A., Jin, S., Aalberg, T., Hopmann, D. N., Strömbäck, J., Castro, L., Esser, F., Van Aelst, P., de Vreese, C., Corbu, N., Koc-Michalska, K., Matthes, J., Schemer, C., Sheafer, T., Splendore, S., Stanyer, J., Stępińska, A., & Štětka, V. (2021). Does the platform matter? Social media and COVID-19 conspiracy theory beliefs in 17 countries. New Media & Society, 146144482110456. https://doi.org/10.1177/14614448211045666",full text,fully,criterion_4.1,criterion_5,"focus on conspiracies, do not investigate accuracy perceptions of actual news items, whether real or fake",,Scopus
"Weeks, B. E., Menchen-Trevino, E., Calabrese, C., Casas, A., & Wojcieszak, M. (2021). Partisan media, untrustworthy news sites, and political misperceptions. New Media & Society, 146144482110333. https://doi.org/10.1177/14614448211033300",full text,fully,criterion_4.1,,only look at fake news,"Consistent with prior research (Guess et al., 2020b), visits to these untrustworthy websites were very rare; 60.8% of respondents visited zero sites and 95.6% visited four or less. The mean number of visits across respondents was 1.19 (SD = 3.60) and the range was from 0 to 49 sites visited.",Scopus
"Pennycook, G., Epstein, Z., Mosleh, M., Arechar, A. A., Eckles, D., & Rand, D. G. (2021). Shifting attention to accuracy can reduce misinformation online. Nature, 592(7855), 590–595. https://doi.org/10.1038/s41586-021-03344-2",full text,fully,criterion_4.1,,"study 1 and study 6 would be relevant, since they include accuracy ratings - however, relevant summary statistics are not made available",,Scopus
"Pennycook, G., & Rand, D. G. (n.d.). Reducing the spread of fake news by shifting attention to accuracy: Meta- analytic evidence of replicability and generalizability. 24.",full text,fully,criterion_4,,"focuses on sharing, not accuarcy",,Scholar
"Lee, S., Forrest, J. P., Strait, J., Seo, H., Lee, D., & Xiong, A. (2020). Beyond Cognitive Ability: Susceptibility to Fake News Is Also Explained by Associative Inference. Extended Abstracts of the 2020 CHI Conference on Human Factors in Computing Systems, 1–8. https://doi.org/10.1145/3334480.3383077",full text,fully,criterion_4.1,,"could tecnically go in, but does not provide standard deviations for average news ratings",,Manual
"Porter, E., Velez, Y., & Wood, T. J. (n.d.). Factual Corrections and COVID-19 Misinformation: Evidence From Simultaneous Experiments in Ten Countries. 146.",full text,fully,criterion_4.1,,"study focuses on debunking of fake news, no true news stimuli",,Manual
"Madrid-Morales, D. (2021). Motivations for Sharing Misinformation: A Comparative Study in Six Sub-Saharan African Countries. 20.",full text,fully,criterion_4.1,,"interview study, focuses on misinformation and what motivates people to share, not on true news and does not provide relevant stats",,Scopus
"Soprano, M., Roitero, K., La Barbera, D., Ceolin, D., Spina, D., Mizzaro, S., & Demartini, G. (2021). The Many Dimensions of Truthfulness: Crowdsourcing Misinformation Assessments on a Multidimensional Scale. Information Processing & Management, 58(6), 102710. https://doi.org/10.1016/j.ipm.2021.102710",full text,fully,criterion_4.1,,"do not have news items grouped in a binary category (true and fake) but use a continous scale as applied by the fact-checking websites they use for identification; 
also do not provide the relevant descriptive stats",critique of one-dimensional assesssment of trustworthiness & critique of two dimenionsal categorization of news items (i.e. fake vs. true),Manual
"Roitero, K., Soprano, M., Portelli, B., Spina, D., Della Mea, V., Serra, G., Mizzaro, S., & Demartini, G. (2020). The COVID-19 Infodemic: Can the Crowd Judge Recent Misinformation Objectively? Proceedings of the 29th ACM International Conference on Information & Knowledge Management, 1305–1314. https://doi.org/10.1145/3340531.3412048",full text,fully,criterion_4.1,,"do not have news items grouped in a binary category (true and fake) but use a continous scale as applied by the fact-checking websites they use for identification; 
also do not provide the relevant descriptive stats",critique of one-dimensional assesssment of trustworthiness & critique of two dimenionsal categorization of news items (i.e. fake vs. true),Manual
"En Long, V. J., Koh, W. S., Saw, Y. E., & Liu, J. C. (2020). Vulnerability to rumors during the COVID-19 pandemic: Results of a national survey [Preprint]. Public and Global Health. https://doi.org/10.1101/2020.10.01.20205187",full text,fully,criterion_4.1,,looked at false rumours on covid-19 only (no real news);  ,"find that although most have been exposed to popular rumors, very few believed or shared those",Manual
"Roitero, K., Soprano, M., Fan, S., Spina, D., Mizzaro, S., & Demartini, G. (2020). Can The Crowd Identify Misinformation Objectively? The Effects of Judgment Scale and Assessor’s Background. Proceedings of the 43rd International ACM SIGIR Conference on Research and Development in Information Retrieval, 439–448. https://doi.org/10.1145/3397271.3401112",full text,fully,criterion_4.1,,"do not have news items grouped in a binary category (true and fake) but use a continous scale as applied by the fact-checking websites they use for identification; 
also do not provide the relevant descriptive stats",critique of one-dimensional assesssment of trustworthiness & critique of two dimenionsal categorization of news items (i.e. fake vs. true),Scopus
"Wahlheim, C. N., Alexander, T. R., & Peske, C. D. (2020). Reminders of Everyday Misinformation Statements Can Enhance Memory for and Beliefs in Corrections of Those Statements in the Short Term. Psychological Science, 31(10), 1325–1339. https://doi.org/10.1177/0956797620952797",full text,fully,criterion_4.1,,do not provide relevant descriptive stats; also study focuses on re-calling (after exposure) true vs. fake news,,Scopus
"Vegetti, F., & Mancosu, M. (2020). The Impact of Political Sophistication and Motivated Reasoning on Misinformation. Political Communication, 37(5), 678–695. https://doi.org/10.1080/10584609.2020.1744778",full text,fully,criterion_4.1,,"do not provide relevant descriptive stats; and I don't understand their data - too bad, would have been nice data on an italian sample",,Scopus
"Pehlivanoglu, D., Lin, T., Deceus, F., Heemskerk, A., Ebner, N. C., & Cahill, B. S. (2021). The role of analytical reasoning and source credibility on the evaluation of real and fake full-length news articles. Cognitive Research: Principles and Implications, 6(1), 24. https://doi.org/10.1186/s41235-021-00292-3",full text,partly,criterion_5,,"authors paired true news and fake news with both credible and non credible news sources;
since we only want real-world news, we thus only looked at a subset (half, to be precise) of their observations (we excluded those news items that were matched with an unrealistic source, e.g. when fake news were said to come from new york times, or when true news came from Liberty Writers News (non credible));
technically, even the subset that we looked at is not necessarily real-world news (e.g. a true news item might not have appeared in the new york times, although the stimulus in the study suggested so), but we consider it close enough",,Scopus
"Altay, S., Hacquin, A.-S., & Mercier, H. (n.d.). Why do so few people share fake news? It hurts their reputation. New Media, 22.",full text,fully,criterion_2,,"focuses on source credibility, does not assess participants' perceptions of accuracy",,Scopus
"Lyons, B. A., Montgomery, J. M., Guess, A. M., Nyhan, B., & Reifler, J. (2021). Overconfidence in news judgments is associated with false news susceptibility. Proceedings of the National Academy of Sciences, 118(23), e2019527118. https://doi.org/10.1073/pnas.2019527118",full text,fully,criterion_1,,"Data has already been integrated under: Lyons, B. (2022). Partisanship, not illiteracy: Explaining older Americans’ vulnerability to dubious news.;
We know this form e-mail exchange with the author: ""I should also mention though that this is 
mostly a re-analysis of the dataset- the Nov/Dec survey you might have 
already included for example (used in ""A digital media literacy intervention increases discernment between mainstream and false news in the United States and India"") The Oct/Nov and Nov/Dec survey data was also used in ""Overconfidence in news judgments is associated with false news susceptibility."" I used all three surveys in ""Why we should rethink the third-person effect: disentangling bias and earned confidence using behavioral data.""",,Scopus
"Lyons, B. A. (2022). Why we should rethink the third-person effect: Disentangling bias and earned confidence using behavioral data. Journal of Communication, jqac021. https://doi.org/10.1093/joc/jqac021",full text,fully,criterion_1,,"Data has already been integrated under: Lyons, B. (2022). Partisanship, not illiteracy: Explaining older Americans’ vulnerability to dubious news.;
We know this form e-mail exchange with the author: ""I should also mention though that this is 
mostly a re-analysis of the dataset- the Nov/Dec survey you might have 
already included for example (used in ""A digital media literacy intervention increases discernment between mainstream and false news in the United States and India"") The Oct/Nov and Nov/Dec survey data was also used in ""Overconfidence in news judgments is associated with false news susceptibility."" I used all three surveys in ""Why we should rethink the third-person effect: disentangling bias and earned confidence using behavioral data.""",,Manual
"Guess, A. M., Lerner, M., Lyons, B., Montgomery, J. M., Nyhan, B., Reifler, J., & Sircar, N. (2020). A digital media literacy intervention increases discernment between mainstream and false news in the United States and India. Proceedings of the National Academy of Sciences, 117(27), 15536–15545. https://doi.org/10.1073/pnas.1920498117",full text,partly,criterion_1,,"The US survey has already been integrated under the third (Nov/Dec) survey in : Lyons, B. (2022). Partisanship, not illiteracy: Explaining older Americans’ vulnerability to dubious news. ; We know this form e-mail exchange with the author: ""I should also mention though that this is mostly a re-analysis of the dataset- the Nov/Dec survey you might have already included for example (used in ""A digital media literacy intervention increases discernment between mainstream and false news in the United States and India"") The Oct/Nov and Nov/Dec survey data was also used in ""Overconfidence in news judgments is associated with false news susceptibility."" I used all three surveys in ""Why we should rethink the third-person effect: disentangling bias and earned confidence using behavioral data.""",,Scopus
"Van Duyn, E., & Collier, J. (2019). Priming and Fake News: The Effects of Elite Discourse on Evaluations of News Media. Mass Communication and Society, 22(1), 29–48. https://doi.org/10.1080/15205436.2018.1511807",full text,fully,criterion_4.1,,"Study does not allow to distinguish between control and treatment condition; no public data available; descriptive stats for treatment vs. control are only available in text for true news, but not for fake news",,Scopus
"Bharali, B., & Goswami, A. L. (2018). Fake News: Credibility, Cultivation Syndrome and the New Age Media. Media Watch, 9(1). https://doi.org/10.15655/mw/2018/v9i1/49277",full text,fully ,criterion_4,,does not measure perceived accuracy,,
"Pereira, A., & Van Bavel, J. (2018). Identity concerns drive belief in fake news. Unpublished Manuscript: Https://Psyarxiv. Com/7vc5d.",full text,fully,criterion_4.1,,"The study measures both fake and true items, but (i) they were not actual news but quotes from presidential candidates and (ii) in three distinct experiments they tested either fake or true news only ",,
"Anthony, A., & Moulding, R. (2019). Breaking the news: Belief in fake news and conspiracist beliefs. Australian Journal of Psychology, 71(2), 154–162. https://doi.org/10.1111/ajpy.12233",full text,fully,criterion_2,,Is only about fake news,,
"Stefanone, M. A., Vollmer, M., & Covert, J. M. (2019). In News We Trust?: Examining Credibility and Sharing Behaviors of Fake News. Proceedings of the 10th International Conference on Social Media and Society, 136–147. https://doi.org/10.1145/3328529.3328554",full text,fully ,criterion_4.1,,would be relevant but does not provide relevant summary statistics; since it's on US sample and small n (~200) we don't bother asking,,
"Visentin, M., Pizzi, G., & Pichierri, M. (2019). Fake News, Real Problems for Brands: The Impact of Content Truthfulness and Source Credibility on consumers’ Behavioral Intentions toward the Advertised Brands. Journal of Interactive Marketing, 45, 99–112. https://doi.org/10.1016/j.intmar.2018.09.001",full text,fully ,criterion_4.1,criterion_5,does not provide relevant descriptive stats and pairs fake news with credible sources and vice versa,,
"Kim, S., & Kim, S. (2020). The Crisis of Public Health and Infodemic: Analyzing Belief Structure of Fake News about COVID-19 Pandemic. Sustainability, 12(23), 9904. https://doi.org/10.3390/su12239904",full text,fully ,criterion_4.1,criterion_2,does not provide relevant descriptive stats and is only about fake news,,
"Halpern, D., Valenzuela, S., Katz, J., & Miranda, J. P. (2019). From Belief in Conspiracy Theories to Trust in Others: Which Factors Influence Exposure, Believing and Sharing Fake News. In G. Meiselwitz (Ed.), Social Computing and Social Media. Design, Human Behavior and Analytics (Vol. 11578, pp. 217–232). Springer International Publishing. https://doi.org/10.1007/978-3-030-21902-4_16",full text,fully,criterion_2,,look only at fake news,,
"Melki, J., Tamim, H., Hadid, D., Makki, M., El Amine, J., & Hitti, E. (2021). Mitigating infodemics: The relationship between news exposure and trust and belief in COVID-19 fake news and social media spreading. PLOS ONE, 16(6), e0252830. https://doi.org/10.1371/journal.pone.0252830",full text,fully ,criterion_2,,look only at fake news,,
"Ali, K., Li, C., Zain-ul-abdin, K., & Zaffar, M. A. (2022). Fake news on Facebook: Examining the impact of heuristic cues on perceived credibility and sharing intention. Internet Research, 32(1), 379–397.",abstract,fully ,criterion_3,,"paper not accessible; since small n (~200, and probably US) we don't bother asking",,
"Martin, J. D., & Hassan, F. (2020). News Media Credibility Ratings and Perceptions of Online Fake News Exposure in Five Countries. Journalism Studies, 21(16), 2215–2233. https://doi.org/10.1080/1461670X.2020.1827970",full text,fully ,criterion_4,,"does measure accuracy of news, also only focuses on fake news",,
"Grady, R. H., Ditto, P. H., & Loftus, E. F. (2021). Nevertheless, partisanship persisted: Fake news warnings help briefly, but bias returns with time. Cognitive Research: Principles and Implications, 6(1), 52. https://doi.org/10.1186/s41235-021-00315-z",full text,fully ,criterion_5,,fake news stories were made up and true new stories were written by authors too (based on actual news),,
"Paskin, D. (n.d.). Real or Fake News: Who Knows? 7(2).",full text,fully,criterion_2,,"it is unclear whether the author used real-world headlines and where he got them from; it's not explicitly mentioned where the sample is from, but presumably US",,
"Gaonkar, S., Itagi, S., Chalippatt, R., Gaonkar, A., Aswale, S., & Shetgaonkar, P. (2019). Detection Of Online Fake News: A Survey. 2019 International Conference on Vision Towards Emerging Trends in Communication and Networking (ViTECoN), 1–6. https://doi.org/10.1109/ViTECoN.2019.8899556",full text,fully ,criterion_4.1,,does not provide participant ratings of news items; paper is about training an algorythm to discern true and fake news,,
"Moravec, P. L., Kim, A., Dennis, A. R., & Minas, R. K. (2022). Do You Really Know if It’s True? How Asking Users to Rate Stories Affects Belief in Fake News on Social Media. Information Systems Research, 33(3), 887–907. https://doi.org/10.1287/isre.2021.1090",full text,fully,criterion_4.1,,do not provide relevant summary stats,,
"Gao, M., Xiao, Z., Karahalios, K., & Fu, W.-T. (2018). To Label or Not to Label: The Effect of Stance and Credibility Labels on Readers’ Selection and Perception of News Articles. Proceedings of the ACM on Human-Computer Interaction, 2(CSCW), 1–16. https://doi.org/10.1145/3274324",full text,fully,criterion_4,,does not measure accuracy ,,
"Wagner, M. C., & Boczkowski, P. J. (2019). The reception of fake news: The interpretations and practices that shape the consumption of perceived misinformation. Digital Journalism, 7(7), 870–885.",abstract,fully,criterion_4,,"interview study, does not measure accuracy, focuses on fake news",,
"Salvi, C., Iannello, P., Cancer, A., McClay, M., Rago, S., Dunsmoor, J. E., & Antonietti, A. (2021). Going Viral: How Fear, Socio-Cognitive Polarization and Problem-Solving Influence Fake News Detection and Proliferation During COVID-19 Pandemic. Frontiers in Communication, 5, 562588. https://doi.org/10.3389/fcomm.2020.562588",full text,fully,criterion_5,criterion_4.1,did not use real world news items and do not provide summary stats ,,
"Faragó, L., Kende, A., & Krekó, P. (2020). We Only Believe in News That We Doctored Ourselves: The Connection Between Partisanship and Political Fake News. Social Psychology, 51(2), 77–90. https://doi.org/10.1027/1864-9335/a000391",full text,fully,criterion_5,criterion_2,"created their own news (even though apparently based on social media discourse) and focused on fake news. Study 1 appears to have also featured true news, but no description in the paper about them.",,
"Moravec, P., Kim, A., & Dennis, A. (n.d.). Flagging Fake News: System 1 vs. System 2.",full text,fully,criterion_5,criterion_2,used made up headlines and focused on fake news,,
"Leeder, C. (2019). How college students evaluate and share “fake news” stories. Library & Information Science Research, 41(3), 100967. https://doi.org/10.1016/j.lisr.2019.100967",full text,fully,criterion_4.1,,does not provide relevant summary statistics -no SDs provided.,,
"Saadany, H., Mohamed, E., & Orasan, C. (2020). Fake or real? A study of Arabic satirical fake news. ArXiv Preprint ArXiv:2011.00452.",abstract,fully,criterion_4,,"no participants who evaluate accuarcy, aim is to train an alogrythm to detect fake news",,
"Fazio, L. (2020). Pausing to consider why a headline is true or false can help reduce the sharing of false news. Harvard Kennedy School Misinformation Review. https://doi.org/10.37016/mr-2020-009",full text,fully,criterion_4,,"do not measure perceived accuracy, focus on sharing",,
